quantidade_mortes_intervencao_policial_civil_fora_de_servico,quantidade_feminicidio,quantidade_mortes_intervencao_policial_militar_fora_de_servico,quantidade_furto_veiculos,quantidade_mortes_intervencao_policial_civil_em_servico,quantidade_estupro,quantidade_morte_policiais_civis_confronto_em_servico,quantidade_mortes_intervencao_policial_militar_em_servico,quantidade_mortes_policiais_confronto,quantidade_posse_uso_entorpecente,quantidade_mortes_violentas_intencionais,quantidade_morte_policiais_militares_fora_de_servico,quantidade_morte_policiais_civis_fora_de_servico,quantidade_latrocinio,quantidade_porte_ilegal_arma_de_fogo,quantidade_mortes_intervencao_policial,ano,quantidade_roubo_furto_veiculos,quantidade_posse_ilegal_arma_de_fogo,quantidade_lesao_corporal_dolosa_violencia_domestica,quantidade_trafico_entorpecente,quantidade_roubo_veiculos,quantidade_lesao_corporal_morte,proporcao_mortes_intenvencao_policial_x_mortes_violentas_intencionais,quantidade_morte_policiais_militares_confronto_em_servico,quantidade_posse_ilegal_porte_ilegal_arma_de_fogo,sigla_uf,sigla_uf_nome,id_municipio,id_municipio_nome,grupo,quantidade_homicidio_doloso
,7,,1406,,427,,,8,1314,1243,,,16,185,99,2018,6794,30,2884,1847,5388,13,7.0,,215,BA,Bahia,2927408,Salvador,,1115
,5,,2345,,478,,,8,1167,1540,,,13,746,63,2018,7378,371,2471,3083,5033,19,4.0,,1117,CE,Ceará,2304400,Fortaleza,,1445
,28,,5300,,789,,,2,5603,505,,,33,,5,2018,9293,,15368,2814,3993,8,0.0,,1233,DF,Distrito Federal,5300108,Brasília,,459
,2,,639,,86,,,0,257,84,,,2,119,4,2018,975,13,100,452,336,2,4.0,,132,ES,Espírito Santo,3205309,Vitória,,76
,11,,3403,,122,,,,9005,457,,,20,,,2018,6591,179,3940,1152,3188,28,,,179,GO,Goiás,5208707,Goiânia,,409
,,,735,,209,,,0,584,297,,,18,326,21,2018,1717,,,993,982,2,7.0,,326,MA,Maranhão,2111300,São Luís,,256
,7,,5477,,613,,,0,2643,455,,,8,304,24,2018,8078,230,7862,5807,2601,9,5.0,,534,MG,Minas Gerais,3106200,Belo Horizonte,,414
,9,,2224,,659,,,1,505,154,,,12,134,21,2018,2624,120,1513,1050,400,0,13.0,,254,MS,Mato Grosso do Sul,5002704,Campo Grande,,121
,6,,778,,313,,,1,508,137,,,10,120,12,2018,1945,60,,671,1167,1,8.0,,180,MT,Mato Grosso,5103403,Cuiabá,,114
,8,,1158,,552,,,14,334,1043,,,60,131,132,2018,2868,27,2015,887,1710,5,12.0,,158,PA,Pará,1501402,Belém,,846
,5,,436,,35,,,3,152,258,,,8,,11,2018,1460,,,252,1024,1,4.0,,,PB,Paraíba,2507507,João Pessoa,,238
,6,,1307,,465,,,,744,613,,,7,217,12,2018,4623,98,1818,1395,3316,0,1.0,,315,PE,Pernambuco,2611606,Recife,,594
,9,,2024,,224,,,1,174,337,,,22,,13,2018,5001,,,409,2977,2,3.0,,,PI,Piauí,2211001,Teresina,,300
,7,,4860,,797,,,3,3530,403,,,15,,81,2018,7713,,1990,1532,2853,9,20.0,,476,PR,Paraná,4106902,Curitiba,,298
,22,,7050,,1642,,,41,1204,1987,,,66,,558,2018,31848,,9063,1998,24798,25,28.0,,936,RJ,Rio de Janeiro,3304557,Rio de Janeiro,,1338
,6,,594,,114,,,4,66,446,,,20,56,35,2018,4027,,,103,3433,61,7.0,,56,RN,Rio Grande do Norte,2408102,Natal,,330
,4,,1860,,355,,,0,388,160,,,4,,2,2018,3338,,,509,1478,2,1.0,,,RO,Rondônia,1100205,Porto Velho,,152
,2,,644,,219,,,2,181,175,,,12,54,1,2018,1194,22,432,375,550,7,0.0,,88,RR,Roraima,1400100,Boa Vista,,155
,22,,2957,,672,,,0,1468,584,,,13,,33,2018,11168,,3816,2140,8211,1,5.0,,,RS,Rio Grande do Sul,4314902,Porto Alegre,,537
,4,,525,,232,,,0,646,123,,,1,67,22,2018,789,42,,2161,264,2,17.0,,109,SC,Santa Catarina,4205407,Florianópolis,,98
,4,,366,,151,,,4,95,344,,,8,,54,2018,1317,,466,191,951,1,15.0,,147,SE,Sergipe,2800308,Aracaju,,281
,29,,40395,,2590,,,29,1588,1225,,,82,1139,406,2018,67255,,9588,8651,26860,14,33.0,,1139,SP,São Paulo,3550308,São Paulo,,723
,,,606,,123,,,0,45,73,,,3,23,4,2018,798,32,270,104,192,1,5.0,,55,TO,Tocantins,1721000,Palmas,,65
,10,,665,,323,,,2,89,293,,,3,404,38,2019,1267,296,614,944,602,2,12.0,,700,AL,Alagoas,2704302,Maceió,,288
,6,,2582,,604,,,2,1104,708,,,8,,51,2019,5323,,2443,3301,2741,13,7.0,,,CE,Ceará,2304400,Fortaleza,,636
,32,,5137,,762,,,0,5576,461,,,25,578,8,2019,8562,244,3160,2597,3425,6,1.0,,997,DF,Distrito Federal,5300108,Brasília,,422
,2,,595,,125,,,0,187,80,,,0,80,3,2019,841,5,126,524,246,4,3.0,,85,ES,Espírito Santo,3205309,Vitória,,73
,1,,2393,,501,,,0,3460,420,,,4,271,135,2019,3417,,1633,1488,1024,16,32.0,,453,GO,Goiás,5208707,Goiânia,,265
,8,,748,,275,,,0,680,264,,,24,249,33,2019,1906,,2091,933,1158,3,12.0,,249,MA,Maranhão,2111300,São Luís,,204
,0,,1040,,292,,,0,410,99,,,5,137,17,2019,2026,81,,754,986,0,17.0,,218,MT,Mato Grosso,5103403,Cuiabá,,94
,4,,1007,,354,,,10,325,456,,,16,62,107,2019,1807,45,1704,997,800,4,23.0,,107,PA,Pará,1501402,Belém,,329
,5,,485,,27,,,1,142,192,,,6,263,9,2019,1455,92,909,317,970,2,4.0,,355,PB,Paraíba,2507507,João Pessoa,,184
,8,,1485,,431,,,1,729,483,,,22,206,10,2019,4546,105,1843,1897,3061,4,2.0,,311,PE,Pernambuco,2611606,Recife,,457
,5,,1809,,259,,,1,163,242,,,14,249,21,2019,5114,83,1153,492,3305,4,8.0,,332,PI,Piauí,2211001,Teresina,,224
,3,,4777,,1091,,,0,3458,338,,,9,144,79,2019,6867,173,2225,1572,2090,5,23.0,,317,PR,Paraná,4106902,Curitiba,,245
,1,,463,,218,,,0,1279,70,,,0,45,9,2019,666,36,,1538,203,0,12.0,,81,SC,Santa Catarina,4205407,Florianópolis,,61
,3,,348,,206,,,0,187,209,,,2,,37,2019,969,,293,468,621,0,17.0,,208,SE,Sergipe,2800308,Aracaju,,170
,13,,1228,,608,,,3,1386,1175,,,18,157,157,2019,6154,38,2838,1791,4926,13,13.0,,195,BA,Bahia,2927408,Salvador,,987
,17,,5123,,653,,,0,2648,382,,,8,238,10,2019,6653,224,7744,5288,1530,7,2.0,,610,MG,Minas Gerais,3106200,Belo Horizonte,,367
,5,,2113,,673,,,0,573,93,,,3,137,13,2019,2409,,1349,1291,296,4,13.0,,215,MS,Mato Grosso do Sul,5002704,Campo Grande,,86
,21,,6862,,1726,,,19,1271,1913,,,34,,726,2019,25328,,8966,2266,18466,19,37.0,,819,RJ,Rio de Janeiro,3304557,Rio de Janeiro,,1134
,3,,481,,171,,,6,89,220,,,18,81,60,2019,3194,17,174,291,2713,24,27.0,,98,RN,Rio Grande do Norte,2408102,Natal,,178
,6,,2812,,665,,,3,1708,357,,,12,1847,22,2019,7559,1131,3513,2329,4747,1,6.0,,2978,RS,Rio Grande do Sul,4314902,Porto Alegre,,322
,44,,37331,,2663,,,21,1580,1175,,,66,1141,402,2019,58560,,11403,7869,21229,22,34.0,,1141,SP,São Paulo,3550308,São Paulo,,685
,1,,597,,114,,,0,64,75,,,7,37,7,2019,763,38,593,217,166,2,9.0,,75,TO,Tocantins,1721000,Palmas,,59
,4,,515,,182,,,0,0,175,,,4,,12,2019,1253,,115,139,738,0,6.0,,57,AC,Acre,1200401,Rio Branco,,171
,12,,1972,,855,,,4,525,984,,,40,236,85,2019,4410,337,2505,2305,2438,21,8.0,,573,AM,Amazonas,1302603,Manaus,,838
,5,,734,,336,,,1,82,325,,,10,91,89,2019,1389,23,384,467,655,23,27.0,,114,AP,Amapá,1600303,Macapá,,203
,1,,1991,,345,,,0,238,119,,,7,231,7,2019,3934,80,1249,570,1943,0,5.0,,311,RO,Rondônia,1100205,Porto Velho,,105
,5,,603,,222,,,,203,146,,,15,31,0,2019,1071,,515,354,468,7,,,40,RR,Roraima,1400100,Boa Vista,,124
,10,,755,,287,,,1,40,370,,,5,329,4,2020,1248,194,519,1001,493,3,1.0,,523,AL,Alagoas,2704302,Maceió,Grupo 1,362
,4,,2591,,554,,,5,799,1303,,,12,442,57,2020,7560,172,129,2625,4969,18,4.0,,614,CE,Ceará,2304400,Fortaleza,Grupo 1,1216
,17,,4285,,699,,,1,5403,425,,,33,573,11,2020,6503,264,3276,2993,2218,5,2.0,,1006,DF,Distrito Federal,5300108,Brasília,Grupo 1,376
,4,,669,,107,,,0,107,79,,,0,67,8,2020,823,5,155,498,154,4,10.0,,72,ES,Espírito Santo,3205309,Vitória,Grupo 1,67
,4,,1606,,458,,,1,6982,382,,,5,300,135,2020,2214,,1622,1556,608,9,35.0,,416,GO,Goiás,5208707,Goiânia,Grupo 1,233
,6,,654,,187,,,2,439,280,,,16,295,18,2020,1677,60,948,790,1023,0,6.0,,355,MA,Maranhão,2111300,São Luís,Grupo 1,246
,6,,838,,291,,,1,500,108,,,2,108,26,2020,1531,92,1678,1005,693,0,24.0,,200,MT,Mato Grosso,5103403,Cuiabá,Grupo 1,80
,4,,850,,490,,,4,433,384,,,7,40,76,2020,1626,34,2820,1297,776,9,19.0,,74,PA,Pará,1501402,Belém,Grupo 1,292
,6,,353,,97,,,1,127,240,,,1,252,5,2020,1431,72,913,291,1078,1,2.0,,324,PB,Paraíba,2507507,João Pessoa,Grupo 1,238
,8,,1303,,428,,,4,595,553,,,21,210,14,2020,3284,90,,2173,1981,2,2.0,,300,PE,Pernambuco,2611606,Recife,Grupo 1,530
,6,,1162,,285,,,6,123,293,,,22,313,12,2020,4114,97,850,387,2952,1,4.0,,410,PI,Piauí,2211001,Teresina,Grupo 1,270
,8,,3558,,702,,,3,3374,347,,,5,200,90,2020,4892,50,1949,1915,1334,5,25.0,,250,PR,Paraná,4106902,Curitiba,Grupo 1,247
,4,,386,,225,,,0,1441,82,,,1,43,15,2020,510,27,957,1139,124,1,18.0,,70,SC,Santa Catarina,4205407,Florianópolis,Grupo 1,65
,0,,259,,144,,,0,162,246,,,6,,44,2020,929,,371,449,670,0,17.0,,198,SE,Sergipe,2800308,Aracaju,Grupo 1,196
,19,,930,,498,,,5,752,1553,,,17,187,368,2020,5061,42,1831,1638,4131,17,23.0,,229,BA,Bahia,2927408,Salvador,Grupo 2,1151
,16,,5396,,662,,,0,2884,343,,,4,241,26,2020,7423,217,1701,6326,2027,,7.0,,551,MG,Minas Gerais,3106200,Belo Horizonte,Grupo 2,339
,16,,1859,,696,,,3,529,182,,,7,145,8,2020,2073,196,1159,1123,214,3,4.0,,341,MS,Mato Grosso do Sul,5002704,Campo Grande,Grupo 2,172
,18,,6027,,1481,,,9,2217,1420,,,33,,415,2020,18360,,11741,1607,12333,15,29.0,,142,RJ,Rio de Janeiro,3304557,Rio de Janeiro,Grupo 2,957
,2,,316,,195,,,5,175,245,,,15,142,50,2020,2863,74,553,481,2547,7,20.0,,216,RN,Rio Grande do Norte,2408102,Natal,Grupo 2,223
,10,,1874,,512,,,0,1439,306,,,10,236,13,2020,5217,260,3015,2441,3343,5,4.0,,496,RS,Rio Grande do Sul,4314902,Porto Alegre,Grupo 2,278
,40,,27035,,2318,,,25,1478,1177,,,46,931,390,2020,41000,,9572,7352,13965,32,33.0,,931,SP,São Paulo,3550308,São Paulo,Grupo 2,709
,0,,430,,128,,,0,58,103,,,4,33,6,2020,582,9,350,221,152,2,5.0,,42,TO,Tocantins,1721000,Palmas,Grupo 2,91
,7,,270,,184,,,1,19,184,,,7,,16,2020,1068,,707,88,798,1,8.0,,44,AC,Acre,1200401,Rio Branco,Grupo 3,176
,13,,1882,,690,,,4,447,783,,,33,203,78,2020,3766,329,1889,1979,1884,15,9.0,,532,AM,Amazonas,1302603,Manaus,Grupo 3,657
,4,,206,,282,,,0,106,247,,,4,,79,2020,392,,453,447,186,13,31.0,,,AP,Amapá,1600303,Macapá,Grupo 3,151
,5,,,,285,,,2,178,161,,,7,276,3,2020,2571,99,1278,545,,10,1.0,,375,RO,Rondônia,1100205,Porto Velho,Grupo 3,141
,5,,543,,275,,,1,146,133,,,13,,16,2020,835,,472,333,292,4,12.0,,25,RR,Roraima,1400100,Boa Vista,Grupo 3,100
,7,,804,,287,,,1,77,307,,,2,301,4,2021,1194,175,628,1157,390,1,1.0,,476,AL,Alagoas,2704302,Maceió,Grupo 1,304
,5,,2313,,547,,,2,749,927,,,19,393,32,2021,6471,131,78,2498,4158,5,3.0,,524,CE,Ceará,2304400,Fortaleza,Grupo 1,871
,25,,3733,,593,,,0,5192,347,,,23,510,8,2021,5763,256,3127,2694,2030,6,2.0,,915,DF,Distrito Federal,5300108,Brasília,Grupo 1,310
,1,,537,,72,,,1,180,78,,,1,80,9,2021,778,7,139,463,241,2,11.0,,87,ES,Espírito Santo,3205309,Vitória,Grupo 1,66
,4,,1436,,409,,,0,11964,258,,,7,254,83,2021,1771,,1260,1301,335,3,32.0,,334,GO,Goiás,5208707,Goiânia,Grupo 1,165
,3,,682,,204,,,3,452,254,,,24,237,14,2021,2146,75,929,709,1464,4,5.0,,312,MA,Maranhão,2111300,São Luís,Grupo 1,212
,5,,867,,342,,,0,406,66,,,3,108,15,2021,1344,100,1472,1060,477,1,22.0,,208,MT,Mato Grosso,5103403,Cuiabá,Grupo 1,47
,12,,183,,611,,,4,592,336,,,10,59,77,2021,893,35,2727,1107,710,4,22.0,,94,PA,Pará,1501402,Belém,Grupo 1,245
,3,,465,,105,,,1,169,232,,,2,253,15,2021,1691,53,819,245,1226,2,6.0,,306,PB,Paraíba,2507507,João Pessoa,Grupo 1,228
,12,,922,,381,,,2,714,549,,,15,235,14,2021,3017,73,,2312,2095,1,2.0,,308,PE,Pernambuco,2611606,Recife,Grupo 1,533
,11,,873,,351,,,3,164,322,,,13,392,18,2021,4324,98,742,432,3451,1,5.0,,490,PI,Piauí,2211001,Teresina,Grupo 1,308
,8,,2828,,724,,,0,3060,327,,,4,165,97,2021,3814,47,1910,2118,986,8,29.0,,212,PR,Paraná,4106902,Curitiba,Grupo 1,218
,4,,366,,205,,,0,1772,56,,,0,48,12,2021,482,19,995,896,116,0,21.0,,67,SC,Santa Catarina,4205407,Florianópolis,Grupo 1,44
,5,,211,,229,,,1,133,198,,,2,,40,2021,746,,404,362,535,1,20.0,,144,SE,Sergipe,2800308,Aracaju,Grupo 1,155
,14,,1027,,403,,,4,812,1614,,,29,261,300,2021,6028,51,1150,1809,5001,14,18.0,,312,BA,Bahia,2927408,Salvador,Grupo 2,1271
,17,,5918,,658,,,0,3017,273,,,4,249,14,2021,7288,151,1639,5864,1370,,5.0,,465,MG,Minas Gerais,3106200,Belo Horizonte,Grupo 2,269
,2,,1775,,735,,,0,558,140,,,5,188,6,2021,2043,174,1013,1083,268,2,4.0,,362,MS,Mato Grosso do Sul,5002704,Campo Grande,Grupo 2,133
,25,,6367,,1600,,,5,2495,1304,,,38,,458,2021,18513,,,1537,12146,18,35.0,,129,RJ,Rio de Janeiro,3304557,Rio de Janeiro,Grupo 2,790
,5,,428,,159,,,3,312,215,,,11,162,57,2021,2329,64,638,608,1901,10,26.0,,226,RN,Rio Grande do Norte,2408102,Natal,Grupo 2,194
,9,,2082,,507,,,0,2142,298,,,14,246,39,2021,3988,253,2442,2541,1906,1,13.0,,499,RS,Rio Grande do Sul,4314902,Porto Alegre,Grupo 2,244
,33,,34331,,2339,,,7,1587,958,,,56,824,282,2021,47987,,10480,6237,13656,17,29.0,,824,SP,São Paulo,3550308,São Paulo,Grupo 2,603
,7,,460,,157,,,0,53,70,,,2,33,13,2021,581,5,399,170,121,0,18.0,,38,TO,Tocantins,1721000,Palmas,Grupo 2,55
,4,,303,,213,,,0,44,97,,,4,,6,2021,1095,,704,200,792,1,6.0,,64,AC,Acre,1200401,Rio Branco,Grupo 3,92
,11,,1710,,590,,,4,191,1185,,,44,193,69,2021,3945,56,2194,1454,2235,12,5.0,,249,AM,Amazonas,1302603,Manaus,Grupo 3,1060
,2,,248,,316,,,0,156,330,,,18,,119,2021,480,,669,520,232,9,36.0,,,AP,Amapá,1600303,Macapá,Grupo 3,184
,3,,,,264,,,0,109,178,,,5,286,6,2021,2537,111,1231,416,,6,3.0,,397,RO,Rondônia,1100205,Porto Velho,Grupo 3,161
,2,,423,,,,,0,185,152,,,9,,9,2021,687,,735,285,264,6,5.0,,32,RR,Roraima,1400100,Boa Vista,Grupo 3,128
